Date,Message
2026-01-01,ஆங்கிலப் புத்தாண்டு
2026-01-15,தைப்பொங்கல்
2026-01-16,காணுமாட்டுப் பொங்கல் / திருவள்ளுவர் தினம்
2026-01-17,உழவர் திருநாள்
2026-01-26,இந்திய குடியரசு தினம்
2026-02-01,தைப்பூசம்
2026-02-24,திருமணநாள் வாழ்த்துக்கள்
2026-03-19,தெலுங்கு வருடப்பிறப்பு
2026-03-21,ரம்ஜான் பண்டிகை
2026-03-31,மகாவீரவத்தமான பகவான் ஜெயந்தி
2026-04-01,வங்கி முடிவுரைக் கணக்கு முடிவு
2026-04-03,புனித வெள்ளி
2026-04-14,தமிழ் வருடப்பிறப்பு
2026-05-01,தொழிலாளர் தினம்
2026-05-28,பக்ரீத் பண்டிகை
2026-06-26,மொகரம் பண்டிகை
2026-08-15,இந்திய சுதந்திர தினம்
2026-08-26,மிலாடி நபி
2026-09-04,கோகுலாஷ்டமி
2026-09-14,ஸ்ரீ விநாயகர் சதுர்த்தி
2026-10-02,காந்தி ஜெயந்தி
2026-10-19,சரஸ்வதி பூஜை / ஆயுத பூஜை
2026-10-20,விஜயதசமி
2026-11-08,தீபாவளிப் பண்டிகை
2026-12-25,கிறிஸ்துமஸ் பண்டிகை
